"Reference","Stage","Reviewer","Decision","Reason","At"
"R-43","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:36:59.881Z"
"R-44","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:12:19.965Z"
"R-44","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:37:04.341Z"
"R-44","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:11:40.844Z"
"R-44","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:05.917Z"
"R-45","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:12:24.696Z"
"R-45","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:06.434Z"
"R-45","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:12:56.939Z"
"R-45","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:13:02.008Z"
"R-46","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:12:29.978Z"
"R-46","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-08T22:33:51.735Z"
"R-46","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:15:10.313Z"
"R-46","full-text","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-08T22:32:49.835Z"
"R-47","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:12:42.884Z"
"R-47","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:17.670Z"
"R-48","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:19:23.100Z"
"R-48","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:21.930Z"
"R-48","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:15:35.942Z"
"R-48","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:12.725Z"
"R-49","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:12:49.170Z"
"R-49","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:37:27.306Z"
"R-50","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:12:51.793Z"
"R-50","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:30.378Z"
"R-50","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:15:55.105Z"
"R-50","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:15.812Z"
"R-51","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:12:55.243Z"
"R-51","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:32.579Z"
"R-51","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:16:13.435Z"
"R-51","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:16.442Z"
"R-52","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:00.374Z"
"R-52","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:33.918Z"
"R-52","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:17:12.253Z"
"R-52","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:17.807Z"
"R-53","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:08.073Z"
"R-53","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:35.508Z"
"R-53","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:17:47.818Z"
"R-53","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:18.918Z"
"R-54","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:09.726Z"
"R-54","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:36.828Z"
"R-54","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:18:00.116Z"
"R-54","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:20.191Z"
"R-55","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:11.160Z"
"R-55","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:37.921Z"
"R-55","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:19:11.384Z"
"R-55","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:21.220Z"
"R-56","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:14.776Z"
"R-56","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:45.440Z"
"R-56","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:19:30.481Z"
